Factory,Distance (km),Predicted Lead Time,Original Factory,Region,Ship Mode,Division
Sugar Shack,1936.7648368834973,4.939605133310824,Secret Factory,Gulf,Second Class,Other
Secret Factory,1076.6682695066236,3.799831695788539,Secret Factory,Gulf,Second Class,Other
The Other Factory,455.3980554840159,2.9788782836493373,Secret Factory,Gulf,Second Class,Other
Lot's O' Nuts,1594.3070244623425,3.4685564880568185,The Other Factory,Interior,First Class,Other
Wicked Choccy's,1385.22305169519,3.185353724384955,The Other Factory,Interior,First Class,Other
Sugar Shack,2042.7423143785559,4.076306016342894,The Other Factory,Interior,First Class,Other
Secret Factory,1369.5640708816766,3.1690461655979147,The Other Factory,Interior,First Class,Other
The Other Factory,781.6959282884843,2.3896426415201493,The Other Factory,Interior,First Class,Other
Lot's O' Nuts,614.4382858116559,3.237165444975285,Secret Factory,Pacific,Second Class,Other
Wicked Choccy's,3450.3594814978314,6.74174045919035,Secret Factory,Pacific,Second Class,Other
Sugar Shack,2406.230384330631,5.5159587928628895,Secret Factory,Pacific,Second Class,Other
Secret Factory,2555.479269984209,5.631741935936457,Secret Factory,Pacific,Second Class,Other
The Other Factory,2582.1409708122683,5.6167714278925125,Secret Factory,Pacific,Second Class,Other
Lot's O' Nuts,3572.870359617027,5.941859508096963,The Other Factory,Atlantic,First Class,Other
Wicked Choccy's,1386.979768179998,3.19964476672759,The Other Factory,Atlantic,First Class,Other
Sugar Shack,1932.6114662800119,3.9514165951705937,The Other Factory,Atlantic,First Class,Other
Secret Factory,1485.8567759567784,3.3258121294432237,The Other Factory,Atlantic,First Class,Other
The Other Factory,1712.8472349563751,3.5600368695174485,The Other Factory,Atlantic,First Class,Other
Lot's O' Nuts,89.11379552685445,3.625762404429476,Sugar Shack,Pacific,Standard Class,Sugar
Wicked Choccy's,2904.344684186781,7.1046000944575045,Sugar Shack,Pacific,Standard Class,Sugar
Sugar Shack,2097.6833929772442,6.1742121068300655,Sugar Shack,Pacific,Standard Class,Sugar
Secret Factory,2094.402254661149,6.100258351839072,Sugar Shack,Pacific,Standard Class,Sugar
The Other Factory,2046.994017442481,5.993149916329683,Sugar Shack,Pacific,Standard Class,Sugar
Lot's O' Nuts,3343.480670048191,4.684767650477894,The Other Factory,Atlantic,Same Day,Other
Wicked Choccy's,1024.6032249256082,1.777126375728579,The Other Factory,Atlantic,Same Day,Other
Sugar Shack,1901.0039825617444,2.940352249078793,The Other Factory,Atlantic,Same Day,Other
Secret Factory,1307.2112874004342,2.131842580759142,The Other Factory,Atlantic,Same Day,Other
The Other Factory,1409.7831562621138,2.2112991201869945,The Other Factory,Atlantic,Same Day,Other
Lot's O' Nuts,3444.7116796335486,4.810692089790172,Secret Factory,Atlantic,Same Day,Other
Wicked Choccy's,1149.7480903578003,1.932798013074758,Secret Factory,Atlantic,Same Day,Other
Sugar Shack,1935.0417325446479,2.982692877702422,Secret Factory,Atlantic,Same Day,Other
Secret Factory,1388.2632992536146,2.232665729609968,Secret Factory,Atlantic,Same Day,Other
The Other Factory,1529.490107829137,2.3602063653048964,Secret Factory,Atlantic,Same Day,Other
Lot's O' Nuts,2722.9400603563595,3.9007518456664863,Secret Factory,Interior,Same Day,Other
Wicked Choccy's,1153.3634969498162,1.925189523727855,Secret Factory,Interior,Same Day,Other
Sugar Shack,1210.9101073003915,2.0698169478694477,Secret Factory,Interior,Same Day,Other
Secret Factory,629.9128006591839,1.2772238660955237,Secret Factory,Interior,Same Day,Other
The Other Factory,1001.3685732702656,1.6911535571636387,Secret Factory,Interior,Same Day,Other
Lot's O' Nuts,1578.349461319377,3.416958581576047,The Other Factory,Pacific,First Class,Other
Wicked Choccy's,3856.836043424779,6.22812313336529,The Other Factory,Pacific,First Class,Other
Sugar Shack,2107.624459192631,4.125267167213767,The Other Factory,Pacific,First Class,Other
Secret Factory,2648.7600465958913,4.728530514168506,The Other Factory,Pacific,First Class,Other
The Other Factory,2977.7751279114123,5.089666893411427,The Other Factory,Pacific,First Class,Other
Lot's O' Nuts,1392.5197104596489,5.27885784122927,Sugar Shack,Interior,Standard Class,Sugar
Wicked Choccy's,1477.2586180808596,5.361150607253034,Sugar Shack,Interior,Standard Class,Sugar
Sugar Shack,1665.2927702839438,5.668095592113604,Sugar Shack,Interior,Standard Class,Sugar
Secret Factory,1075.0666457215646,4.864022493228335,Sugar Shack,Interior,Standard Class,Sugar
The Other Factory,667.3794372092215,4.3087517046812,Sugar Shack,Interior,Standard Class,Sugar
Lot's O' Nuts,69.65654980228574,1.5940466336822512,The Other Factory,Pacific,First Class,Sugar
Wicked Choccy's,2876.529125425159,5.06248715502552,The Other Factory,Pacific,First Class,Sugar
Sugar Shack,2089.247056858164,4.156205592450695,The Other Factory,Pacific,First Class,Sugar
Secret Factory,2074.6990620587994,4.0682366400288075,The Other Factory,Pacific,First Class,Sugar
The Other Factory,2020.5520310530096,3.952745606807906,The Other Factory,Pacific,First Class,Sugar
Lot's O' Nuts,2608.3475463339687,6.767145878461264,Secret Factory,Gulf,Standard Class,Sugar
Wicked Choccy's,353.90810774859654,3.939661068384538,Secret Factory,Gulf,Standard Class,Sugar
Sugar Shack,2210.837794112609,6.322597740681349,Secret Factory,Gulf,Standard Class,Sugar
Secret Factory,1347.501925441617,5.178794834314525,Secret Factory,Gulf,Standard Class,Sugar
The Other Factory,743.8524483273615,4.379760411470619,Secret Factory,Gulf,Standard Class,Sugar
Lot's O' Nuts,614.4382858116559,4.2792300737442215,The Other Factory,Pacific,Standard Class,Sugar
Wicked Choccy's,3450.3594814978314,7.783805087959287,The Other Factory,Pacific,Standard Class,Sugar
Sugar Shack,2406.230384330631,6.558023421631825,The Other Factory,Pacific,Standard Class,Sugar
Secret Factory,2555.479269984209,6.673806564705393,The Other Factory,Pacific,Standard Class,Sugar
The Other Factory,2582.1409708122683,6.658836056661448,The Other Factory,Pacific,Standard Class,Sugar
Lot's O' Nuts,2345.287640716494,5.475769886038371,Sugar Shack,Interior,Second Class,Sugar
Wicked Choccy's,1233.724228587547,4.069944540037432,Sugar Shack,Interior,Second Class,Sugar
Sugar Shack,965.6396102842616,3.809509028831821,Sugar Shack,Interior,Second Class,Sugar
Secret Factory,248.92713156003214,2.848095572542973,Sugar Shack,Interior,Second Class,Sugar
The Other Factory,778.6270174011954,3.4588700971713484,Sugar Shack,Interior,Second Class,Sugar
Lot's O' Nuts,2444.7766665131257,5.575408937970682,Sugar Shack,Gulf,Second Class,Sugar
Wicked Choccy's,511.7687227560174,3.1477628821387955,Sugar Shack,Gulf,Second Class,Sugar
Sugar Shack,1708.1682935121632,4.709045351859856,Sugar Shack,Gulf,Second Class,Sugar
Secret Factory,846.4819365878051,3.567294325077012,Sugar Shack,Gulf,Second Class,Sugar
The Other Factory,424.21855014372625,2.9938917699803964,Sugar Shack,Gulf,Second Class,Sugar
Lot's O' Nuts,3444.7116796335486,5.836237546437019,Sugar Shack,Atlantic,First Class,Sugar
Wicked Choccy's,1149.7480903578003,2.958343469721605,Sugar Shack,Atlantic,First Class,Sugar
Sugar Shack,1935.0417325446479,4.008238334349269,Sugar Shack,Atlantic,First Class,Sugar
Secret Factory,1388.2632992536146,3.2582111862568146,Sugar Shack,Atlantic,First Class,Sugar
The Other Factory,1529.490107829137,3.385751821951743,Sugar Shack,Atlantic,First Class,Sugar
Lot's O' Nuts,880.8085518926165,2.603064142039015,Secret Factory,Pacific,First Class,Sugar
Wicked Choccy's,2239.097582000726,4.269565993471755,Secret Factory,Pacific,First Class,Sugar
Sugar Shack,1289.8269692168508,3.161781781767236,Secret Factory,Pacific,First Class,Sugar
Secret Factory,1248.6802999541749,3.0407259009233005,Secret Factory,Pacific,First Class,Sugar
The Other Factory,1350.0496115799638,3.118686541552053,Secret Factory,Pacific,First Class,Sugar
Lot's O' Nuts,702.2139834455186,1.3553592800080287,The Other Factory,Pacific,Same Day,Other
Wicked Choccy's,3534.092191136298,4.854905094192867,The Other Factory,Pacific,Same Day,Other
Sugar Shack,2453.910979089104,3.5842770673393165,The Other Factory,Pacific,Same Day,Other
Secret Factory,2625.4708631822955,3.727813563664158,The Other Factory,Pacific,Same Day,Other
The Other Factory,2664.0107603229553,3.727618717908202,The Other Factory,Pacific,Same Day,Other
Lot's O' Nuts,3444.7116796335486,7.843749836763934,The Other Factory,Atlantic,Standard Class,Sugar
Wicked Choccy's,1149.7480903578003,4.965855760048518,The Other Factory,Atlantic,Standard Class,Sugar
Sugar Shack,1935.0417325446479,6.015750624676182,The Other Factory,Atlantic,Standard Class,Sugar
Secret Factory,1388.2632992536146,5.265723476583728,The Other Factory,Atlantic,Standard Class,Sugar
The Other Factory,1529.490107829137,5.393264112278656,The Other Factory,Atlantic,Standard Class,Sugar
Lot's O' Nuts,1611.1418511395457,5.550808803677718,Secret Factory,Interior,Standard Class,Sugar
Wicked Choccy's,1372.3009696557556,5.23059048458309,Secret Factory,Interior,Standard Class,Sugar
Sugar Shack,2050.78830225571,6.147625618730613,Secret Factory,Interior,Standard Class,Sugar
Secret Factory,1372.3643690558351,5.2338404894434,Secret Factory,Interior,Standard Class,Sugar
The Other Factory,778.1107289883192,4.446493844058461,Secret Factory,Interior,Standard Class,Sugar
Lot's O' Nuts,2877.935191183673,4.123235343308002,The Other Factory,Gulf,Same Day,Sugar
Wicked Choccy's,327.3253208872165,0.9273348105505023,The Other Factory,Gulf,Same Day,Sugar
Sugar Shack,1948.1145006609727,3.016528873610344,The Other Factory,Gulf,Same Day,Sugar
Secret Factory,1130.8178339474791,1.9299955797528614,The Other Factory,Gulf,Same Day,Sugar
The Other Factory,857.4372262409111,1.54179299957072,The Other Factory,Gulf,Same Day,Sugar
Lot's O' Nuts,1107.579150381621,3.904397543680091,Sugar Shack,Pacific,Second Class,Sugar
Wicked Choccy's,3788.7546569502565,7.216479524209785,Sugar Shack,Pacific,Second Class,Sugar
Sugar Shack,2407.0099632943643,5.5707271901486255,Sugar Shack,Pacific,Second Class,Sugar
Secret Factory,2741.866434468095,5.917393451295055,Sugar Shack,Pacific,Second Class,Sugar
The Other Factory,2901.6829389216177,6.068058394847933,Sugar Shack,Pacific,Second Class,Sugar
Lot's O' Nuts,2970.857748847082,4.185025983272469,Secret Factory,Gulf,Same Day,Other
Wicked Choccy's,472.06583445409086,1.053583436957852,Secret Factory,Gulf,Same Day,Other
Sugar Shack,1914.387491847598,2.920776131235188,Secret Factory,Gulf,Same Day,Other
Secret Factory,1132.0303614881734,1.8777052264543175,Secret Factory,Gulf,Same Day,Other
The Other Factory,957.9761696059352,1.6130579014534514,Secret Factory,Gulf,Same Day,Other
Lot's O' Nuts,3444.7116796335486,6.855483862468626,Sugar Shack,Atlantic,Second Class,Sugar
Wicked Choccy's,1149.7480903578003,3.977589785753211,Sugar Shack,Atlantic,Second Class,Sugar
Sugar Shack,1935.0417325446479,5.027484650380876,Sugar Shack,Atlantic,Second Class,Sugar
Secret Factory,1388.2632992536146,4.277457502288422,Sugar Shack,Atlantic,Second Class,Sugar
The Other Factory,1529.490107829137,4.40499813798335,Sugar Shack,Atlantic,Second Class,Sugar
Lot's O' Nuts,2666.733932055563,3.8967397353342457,Sugar Shack,Atlantic,Same Day,Sugar
Wicked Choccy's,1086.8133486976728,1.9083101613752729,Sugar Shack,Atlantic,Same Day,Sugar
Sugar Shack,1225.9498992136164,2.154429880327807,Sugar Shack,Atlantic,Same Day,Sugar
Secret Factory,585.1048091390999,1.2873902568885298,Sugar Shack,Atlantic,Same Day,Sugar
The Other Factory,917.2820097909005,1.6524600959091464,Sugar Shack,Atlantic,Same Day,Sugar
